dataset,metafolds,experiments,cutoff,seed,time
cifar10,1,2000,10,1540451,44301
cifar10,1,2000,10,1540452,42018
cifar10,1,2000,10,1540453,46926
cifar10,1,2000,10,1540454,35999
cifar10,1,2000,10,1540455,38742
cifar10,1,2000,10,1585133,48730
cifar10,1,2000,10,1585134,43718
cifar10,1,2000,10,1585135,47696
cifar10,1,2000,10,1585136,42039
cifar10,1,2000,10,1585137,52124
dataset,metafolds,experiments,cutoff,seed,time
cifar10,1,2000,20,1540461,79053
cifar10,1,2000,20,1540462,84753
cifar10,1,2000,20,1540463,71350
cifar10,1,2000,20,1540464,82913
cifar10,1,2000,20,1540465,85690
cifar10,1,2000,20,1585143,93043
cifar10,1,2000,20,1585144,66141
cifar10,1,2000,20,1585145,71332
cifar10,1,2000,20,1585146,75657
cifar10,1,2000,20,1585147,75220
dataset,metafolds,experiments,cutoff,seed,time
cifar10,1,5000,10,1540456,102107
cifar10,1,5000,10,1540457,92961
cifar10,1,5000,10,1540458,95383
cifar10,1,5000,10,1540459,88458
cifar10,1,5000,10,1540460,98325
cifar10,1,5000,10,1585138,100387
cifar10,1,5000,10,1585139,92186
cifar10,1,5000,10,1585140,93993
cifar10,1,5000,10,1585141,90339
cifar10,1,5000,10,1585142,92758
dataset,metafolds,experiments,cutoff,seed,time
cifar10,3,2000,15,1540436,69944
cifar10,3,2000,15,1540437,69901
cifar10,3,2000,15,1540438,69343
cifar10,3,2000,15,1540439,69799
cifar10,3,2000,15,1540440,62293
cifar10,3,2000,15,1585118,70513
cifar10,3,2000,15,1585119,67968
cifar10,3,2000,15,1585120,74271
cifar10,3,2000,15,1585121,73601
cifar10,3,2000,15,1585122,57655
dataset,metafolds,experiments,cutoff,seed,time
cifar10,3,2000,30,1540446,125702
cifar10,3,2000,30,1540447,147199
cifar10,3,2000,30,1540448,111179
cifar10,3,2000,30,1540449,148794
cifar10,3,2000,30,1540450,149234
cifar10,3,2000,30,1585128,143862
cifar10,3,2000,30,1585129,135245
cifar10,3,2000,30,1585130,146263
cifar10,3,2000,30,1585131,136710
cifar10,3,2000,30,1585132,103052
dataset,metafolds,experiments,cutoff,seed,time
cifar10,3,5000,15,1540441,137610
cifar10,3,5000,15,1540442,137852
cifar10,3,5000,15,1540443,135531
cifar10,3,5000,15,1540444,160631
cifar10,3,5000,15,1540445,132265
cifar10,3,5000,15,1585123,129589
cifar10,3,5000,15,1585124,146603
cifar10,3,5000,15,1585125,141587
cifar10,3,5000,15,1585126,146264
cifar10,3,5000,15,1585333,108331
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,1,2000,10,1545510,39771
fashion-mnist,1,2000,10,1545511,34370
fashion-mnist,1,2000,10,1545512,35503
fashion-mnist,1,2000,10,1545513,24622
fashion-mnist,1,2000,10,1545514,34376
fashion-mnist,1,2000,10,1585349,36097
fashion-mnist,1,2000,10,1585350,43988
fashion-mnist,1,2000,10,1585351,39106
fashion-mnist,1,2000,10,1585352,31682
fashion-mnist,1,2000,10,1585353,38611
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,1,2000,20,1545520,66814
fashion-mnist,1,2000,20,1545521,76089
fashion-mnist,1,2000,20,1545522,84308
fashion-mnist,1,2000,20,1545523,49828
fashion-mnist,1,2000,20,1545524,66714
fashion-mnist,1,2000,20,1585359,52857
fashion-mnist,1,2000,20,1585360,56867
fashion-mnist,1,2000,20,1585361,54715
fashion-mnist,1,2000,20,1585362,86776
fashion-mnist,1,2000,20,1585363,75567
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,1,5000,10,1545515,52483
fashion-mnist,1,5000,10,1545516,97638
fashion-mnist,1,5000,10,1545517,51510
fashion-mnist,1,5000,10,1545518,58778
fashion-mnist,1,5000,10,1545519,54847
fashion-mnist,1,5000,10,1585354,54415
fashion-mnist,1,5000,10,1585355,63413
fashion-mnist,1,5000,10,1585356,86162
fashion-mnist,1,5000,10,1585357,64347
fashion-mnist,1,5000,10,1585358,66504
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,3,2000,15,1545495,66812
fashion-mnist,3,2000,15,1545496,49713
fashion-mnist,3,2000,15,1545497,46595
fashion-mnist,3,2000,15,1545498,58108
fashion-mnist,3,2000,15,1545499,39415
fashion-mnist,3,2000,15,1585334,66021
fashion-mnist,3,2000,15,1585335,51343
fashion-mnist,3,2000,15,1585336,60439
fashion-mnist,3,2000,15,1585337,49522
fashion-mnist,3,2000,15,1585338,52445
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,3,2000,30,1545505,128004
fashion-mnist,3,2000,30,1545506,73030
fashion-mnist,3,2000,30,1545507,131987
fashion-mnist,3,2000,30,1545508,85048
fashion-mnist,3,2000,30,1545509,122050
fashion-mnist,3,2000,30,1585344,113469
fashion-mnist,3,2000,30,1585345,114241
fashion-mnist,3,2000,30,1585346,86877
fashion-mnist,3,2000,30,1585347,126562
fashion-mnist,3,2000,30,1585348,81677
dataset,metafolds,experiments,cutoff,seed,time
fashion-mnist,3,5000,15,1545500,145547
fashion-mnist,3,5000,15,1545501,101632
fashion-mnist,3,5000,15,1545502,102798
fashion-mnist,3,5000,15,1545503,107713
fashion-mnist,3,5000,15,1545504,97155
fashion-mnist,3,5000,15,1585339,81210
fashion-mnist,3,5000,15,1585340,106655
fashion-mnist,3,5000,15,1585341,112785
fashion-mnist,3,5000,15,1585342,115126
fashion-mnist,3,5000,15,1585343,146125
dataset,metafolds,experiments,cutoff,seed,time
svhn,1,2000,10,1547594,32929
svhn,1,2000,10,1547595,36782
svhn,1,2000,10,1547596,39975
svhn,1,2000,10,1547597,48049
svhn,1,2000,10,1547598,53023
svhn,1,2000,10,1585228,33357
svhn,1,2000,10,1585229,47266
svhn,1,2000,10,1585231,49554
svhn,1,2000,10,1585232,49647
svhn,1,2000,10,1585428,32988
dataset,metafolds,experiments,cutoff,seed,time
svhn,1,2000,20,1547604,55179
svhn,1,2000,20,1547605,80600
svhn,1,2000,20,1547606,86798
svhn,1,2000,20,1547607,83297
svhn,1,2000,20,1547608,107864
svhn,1,2000,20,1585238,79927
svhn,1,2000,20,1585239,84376
svhn,1,2000,20,1585240,74553
svhn,1,2000,20,1585241,87089
svhn,1,2000,20,1585242,83123
dataset,metafolds,experiments,cutoff,seed,time
svhn,1,5000,10,1547599,100529
svhn,1,5000,10,1547600,94375
svhn,1,5000,10,1547601,94926
svhn,1,5000,10,1547602,81364
svhn,1,5000,10,1547603,92162
svhn,1,5000,10,1585233,96716
svhn,1,5000,10,1585234,93722
svhn,1,5000,10,1585235,99505
svhn,1,5000,10,1585236,87750
svhn,1,5000,10,1585237,88915
dataset,metafolds,experiments,cutoff,seed,time
svhn,3,2000,15,1554194,46629
svhn,3,2000,15,1554195,44248
svhn,3,2000,15,1554196,57462
svhn,3,2000,15,1554197,63636
svhn,3,2000,15,1554198,75874
svhn,3,2000,15,1585213,70602
svhn,3,2000,15,1585214,50945
svhn,3,2000,15,1585215,61829
svhn,3,2000,15,1585216,52730
svhn,3,2000,15,1585217,42292
dataset,metafolds,experiments,cutoff,seed,time
svhn,3,2000,30,1547589,136774
svhn,3,2000,30,1547590,141429
svhn,3,2000,30,1547591,115926
svhn,3,2000,30,1547592,125343
svhn,3,2000,30,1547593,85897
svhn,3,2000,30,1585223,136129
svhn,3,2000,30,1585224,109049
svhn,3,2000,30,1585225,132318
svhn,3,2000,30,1585226,149328
svhn,3,2000,30,1585227,142664
dataset,metafolds,experiments,cutoff,seed,time
svhn,3,5000,15,1547584,136253
svhn,3,5000,15,1547585,93027
svhn,3,5000,15,1547586,136457
svhn,3,5000,15,1547587,107020
svhn,3,5000,15,1547588,86615
svhn,3,5000,15,1585218,84672
svhn,3,5000,15,1585219,116048
svhn,3,5000,15,1585220,131283
svhn,3,5000,15,1585221,119377
svhn,3,5000,15,1585222,130990
